80	-20	-21	11	5	8	-14	-3	-7	-13	1	0
1	-19	-8	11	3	1	3	-2	5	1	1	0
-20	12	14	-20	17	-10	3	-1	11	-2	-9	1
-5	-14	-19	9	13	3	-3	-4	-5	0	-3	0
-32	20	-1	1	-19	-8	5	-18	0	7	9	1
-11	-33	-13	-4	6	5	4	-1	1	1	1	0
-24	0	-6	-7	-2	-7	7	2	3	-1	-9	1
-27	9	4	9	-17	6	5	3	12	4	-1	1
-33	-2	0	-10	4	7	4	-2	2	-2	3	1
92	46	3	25	23	38	1	-15	17	-8	9	0
-20	6	28	-4	-2	10	-13	3	-2	-1	-14	1
-51	15	40	19	-9	21	-35	25	33	9	16	1
30	11	-4	34	4	-11	1	-4	-2	2	3	0
31	3	2	0	10	0	7	-1	7	-15	-7	0
-27	-4	-3	-6	4	12	5	2	-2	1	4	1
30	14	11	14	-17	-18	10	0	6	1	-1	0
-2	-15	29	-12	14	12	-1	-3	-5	-2	4	0
19	-25	-2	7	12	4	0	-8	1	-8	10	0
16	-11	-32	14	1	13	6	-2	0	5	1	0
-11	1	-2	7	-5	-6	1	5	-8	-2	4	1
6	-22	-3	-6	6	-4	7	-5	7	-5	1	0
74	-21	15	-1	-2	-5	14	10	1	-4	2	0
54	7	-21	35	-23	-12	2	4	0	6	1	0
-3	4	-8	1	-3	-2	0	1	-4	3	0	1
-4	-8	-22	-7	8	1	4	-10	3	3	1	0
-23	17	-7	5	-17	-4	4	3	-2	-1	1	1
-10	-20	5	-6	-9	16	3	-1	-9	1	0	0
14	9	-18	16	5	13	-6	-7	2	-4	-7	1
-27	-17	-13	-21	14	-5	2	-3	6	2	3	1
24	-26	31	-13	-8	9	14	0	6	-8	-3	0
-26	0	-5	2	8	-3	0	-3	0	1	-4	1
45	-35	60	-49	-47	-9	-24	-30	5	27	-13	0
35	33	73	-19	11	-44	45	-26	-10	-12	8	0
33	14	4	23	-18	24	12	-11	5	-2	2	0
23	9	-17	4	4	6	-1	5	0	-3	5	0
8	17	6	3	1	8	11	2	2	-2	3	1
-19	16	15	1	8	18	-5	10	-1	8	4	1
25	-25	10	-6	-8	3	-2	-4	-10	1	5	0
15	-45	17	29	8	-8	2	-12	-1	1	-4	0
-23	-2	-18	-17	11	-8	-6	-3	7	0	-5	1
-6	4	-20	-15	-3	3	0	2	-2	-2	1	1
-18	21	-10	5	-12	0	-5	0	-2	0	-5	1
